,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
348,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Spur Labs Pty Ltd,West End,4101.0,,,Toucan,West End,4101.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,South Brisbane,200000.0
349,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,The Smarter Towing Company Pty Ltd,Burbank,4156.0,,,Real-time wheel bearing monitoring for trucks caravans and trailers.,Burbank,4156.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,Mansfield,100000.0
350,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,TerraCipher Pty Ltd,Alton Downs,4702.0,,,Shaipup - A knowledge brokering marketplace,Alton Downs,4702.0,,1/11/2022,Rockhampton (R),Central Queensland,Mirani,100000.0
351,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Global Road Technology Holdings Pty Ltd,Southport,4215.0,,,SMART Dosing Unit for Mining Dust Suppression & Water Management,Southport,4215.0,,1/11/2022,Gold Coast (C),Gold Coast,Southport,100000.0
352,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,OPS (Aust) Pty Ltd,Longreach,4730.0,,,Smart Remote Water Monitoring and Control,Longreach,4730.0,,20/12/2021,Longreach (R),Outback Queensland,Gregory,99560.0
353,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Nu Flow Technologies 2000 Pty Ltd,Molendinar,4214.0,,,Structural rehabilitation of water mains using UV curing epoxy technology,Molendinar,4214.0,,20/12/2021,Gold Coast (C),Gold Coast,Southport,200000.0
354,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Simulation Training Group Pty Ltd,Bardon,4065.0,,,Virtual-Shot: Virtual Firearms Training Platform and Smartphone Mount,Bardon,4065.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,Maiwar,100000.0
355,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,SendFX Pty Ltd,Southport,4215.0,,,Foreign exchange payments as embedded financial services for corporate clients,Southport,4215.0,,20/12/2021,Gold Coast (C),Gold Coast,Southport,99999.0
356,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Kova Australia Pty Ltd,Fortitude Valley,4006.0,,,Syla - tax reporting and portfolio management software for cryptocurrency,Fortitude Valley,4006.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
357,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Jennifer Isobel McKee,Etty Bay,4858.0,,,Compliance Management Digitalisation for Horticulture Industry,Etty Bay,4858.0,,20/12/2021,Cassowary Coast (R),Far North Queensland,Hill,92400.0
358,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,LYRO Robotics Pty Ltd,Eight Mile Plains,4113.0,,,Commercialisation of automated produce packing system,Eight Mile Plains,4113.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,Toohey,100000.0
359,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,LiXiA Pty Ltd,Townsville City,4810.0,,,Pole-top sensor for power grid safety and asset life extension,Townsville City,4810.0,,20/12/2021,Townsville (C),Townsville,Townsville,200000.0
360,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Span Engineering Pty Ltd,Emerald,4720.0,,,Doover - Industrial remote control system for agriculture,Emerald,4720.0,,20/12/2021,Central Highlands (R),Central Queensland,Gregory,100000.0
361,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Elemental Instruments Pty Ltd,Fairfield,4103.0,,,Precision magnetic fields for scientific and industrial applications,Fairfield,4103.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,Miller,45000.0
362,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Bloom Impact Investing Pty Ltd,Newstead,4006.0,,,Digital Platform to make Renewables and Cleantech investments accessible,Newstead,4006.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
363,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Flametree Technologies Pty Ltd,West End,4101.0,,,Portfolio risk analysis software,West End,4101.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,South Brisbane,100000.0
364,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Emerging Healthcare Operations Pty Ltd,Milton,4064.0,,,Virtual Paediatric Emergency Care for Queensland Health Services,Milton,4064.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,Cooper,100000.0
365,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Tomkat Global Solutions Pty Ltd,Kurrimine Beach,4871.0,,,Commercialisation of the KoolPak,Kurrimine Beach,4871.0,,20/12/2021,Cassowary Coast (R),Far North Queensland,Hill,150000.0
366,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Spatial Innovation Pty Ltd,Brighton,4017.0,,,Flood Information Portal for Local Government,Brighton,4017.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,Sandgate,78000.0
367,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,World's Biggest Garage Sale Pty Ltd,Morningside,4170.0,,,Retail Returns Resource Recovery Platform,Morningside,4170.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,Bulimba,100000.0
368,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Urpla Software Pty Ltd,Southport,4215.0,,,Simplifying Development Applications across the Globe,Southport,4215.0,,20/12/2021,Gold Coast (C),Gold Coast,Southport,195000.0
369,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Anti Ordinary Pty Ltd,Newstead,4006.0,,,Anti Ordinary Global Launch,New Farm,4006.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
370,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Haystack Australia Pty Ltd,Banyo,4014.0,,,Commercialising Haystack for Enterprise SaaS,Banyo,4014.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,Nudgee,100000.0
371,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Gelomics Pty Ltd,Kelvin Grove,4059.0,,,Next-generation 3D cell culture technologies,Kelvin Grove,4059.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,98600.0
372,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Holospace Pty Ltd,Ipswich,4305.0,,,HoloSpace Air -  Border protection,Ipswich,4305.0,"Cairns, Queensland",19/08/2019,Ipswich (C),Ipswich,Ipswich,100000.0
373,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Helitak Fire Fighting Equipment Pty Ltd,Noosaville,4566.0,,,Helitak Black Hawk Fire Tank,Noosaville,4566.0,,19/08/2019,Noosa (S),Sunshine Coast,Noosa,100000.0
374,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,DocSols Pty Ltd,Rocklea,4106.0,,,Commercialisation of the DocSols platform,Rocklea,4106.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,Miller,100000.0
375,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Digital Technologies Institute Pty Ltd,Middle Park,4074.0,,,Artificial Intelligence STEM Platform,Middle Park,4074.0,workshops are required across Australia,19/08/2019,Brisbane (C),Brisbane and Redlands,Mount Ommaney,100000.0
376,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,GaardTech Pty Ltd,Chermside,4032.0,,,GaardTech Global Commercialisation,Chermside,4032.0,"Kedron, Queensland",19/08/2019,Brisbane (C),Brisbane and Redlands,Stafford,100000.0
377,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Field QL Pty Ltd,Kenmore,4069.0,,,Real estate lease analysis platform,Kenmore,4069.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,Moggill,100000.0
378,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Ikara Group Pty Ltd,Brisbane City,4000.0,,,Commercialisation of the Echelon Technology,Brisbane City,4000.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
379,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,M3dicine Pty Ltd,Eight Mile Plains,4113.0,,,Commercialising IOT Stethoscope with AI,Eight Mile Plains,4113.0,California USA (BD Office),19/08/2019,Brisbane (C),Brisbane and Redlands,Toohey,200000.0
380,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,LincRobotics Pty Ltd,Oxenford,4210.0,,,Grass Advertising Robots,Oxenford,4210.0,,19/08/2019,Gold Coast (C),Gold Coast,Theodore,185449.0
381,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Marine Composites Pty Ltd,Hemmant,4174.0,,,Fibre Composite Marine Piles,Hemmant,4174.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,Lytton,100000.0
382,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Macrobotix Pty Ltd,Hamilton,4007.0,,,Painting Robotics-as-a-service Commercial Launch,Hamilton,4007.0,Client Painting Sites,19/08/2019,Brisbane (C),Brisbane and Redlands,Clayfield,100000.0
383,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Inndox Pty Ltd,Fortitude Valley,4006.0,,,Commercialisation of Inndox ‘Builder Handover’,Fortitude Valley,4006.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
384,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Immersive Robotics Pty Ltd,Fortitude Valley,4006.0,,,Commercialising 4K120 wireless streaming solution,Fortitude Valley,4006.0,"South Korea, Japan",19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,199739.0
385,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Laird and Pascoe Trading Company Pty Ltd,Bridgeman Downs,4035.0,,,Frozen Herbs & Spices,Bridgeman Downs,4035.0,"Forest Glen, QLD",19/08/2019,Brisbane (C),Brisbane and Redlands,Aspley,100000.0
386,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Kynd Pty Ltd,Burleigh Heads,4220.0,,,Regional NDIS Market Expansion,Burleigh Heads,4220.0,"QLD: Northern Gold Coast, Scenic Rim, Toowoomba, Warwick, Dalby, Mt Isa, Cairns, Townsville, Mackay, Rockhampton, Gladstone, Bundaberg.",19/08/2019,Gold Coast (C),Gold Coast,Burleigh,200000.0
387,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Cyborg Dynamics Engineering Pty Ltd,Murarrie,4172.0,,,Eye Align Automated Construction Sketcher,Murarrie,4172.0,"Substation 33, 31 Mary St, Kingston QLD 4114",19/08/2019,Brisbane (C),Brisbane and Redlands,Bulimba,90000.0
388,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Welio Pty Ltd,Taringa,4068.0,,,Commercialising Welio for GP eConsults,Taringa,4068.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,Maiwar,100000.0
389,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Wrappt Pty Ltd,West End,4101.0,,,VS Video Public Launch,West End,4101.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,South Brisbane,100000.0
390,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,ABM Technologies Australia Pty Ltd,Brisbane City,4000.0,,,International Growth of ACE-Insights solution,Toowong,4066.0,"Vancouver, Canada and North America",19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
391,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,(UI!) The Urban Institute Pty Ltd,Sippy Downs,4556.0,,,UrbanInsight Smart City Data Platform,Sippy Downs,4556.0,,19/08/2019,Sunshine Coast (R),Sunshine Coast,Buderim,100000.0
392,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Visional Technologies Pty Ltd,Taringa,4068.0,,,REVOLUTIONALISING Ultra-fast Electric Vehicle (EV) Charging,Taringa,4068.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,Maiwar,85408.0
393,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,TravelbyBit Pty Ltd,Fortitude Valley,4006.0,,,Commercialisation of QLD's First Digital Currency Gift Voucher platform,Sandgate,4017.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
394,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Vygo Pty Ltd,Fortitude Valley,4006.0,,,Vygo Commercialisation,Fortitude Valley,4006.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,99930.0
395,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Vostronet (Australia) Pty Ltd,Brisbane City,4000.0,,,Commercialisation of the Q2tm Software-Defined Network Platform,Brisbane City,4000.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
396,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Alumtek Minerals Pty Ltd,Belmont,4153.0,,,Project Reclaim Bauxite Residue Valorisation,Gladstone,4680.0,"JK Tech 40 Isles Indooroopilli   4068,           SGS Australia 41 Victoria Malaga WA 6090",19/08/2019,Brisbane (C),Central Queensland,Chatsworth,100000.0
397,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Codestream Solutions Pty Ltd,Fortitude Valley,4006.0,,,FloodMapp - Predictive Flood Mapping,Fortitude Valley,4006.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
398,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Chromoxyion Pty Ltd,Karana Downs,4306.0,,,Sex Selection in Farm Animals,Karana Downs,4306.0,"Gatton, Queensland",19/08/2019,Brisbane (C),Ipswich,Moggill,100000.0
399,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Cubiko Pty Ltd,Spring Hill,4000.0,,,Commercialisation of Cubiko Multisite (CM),Spring Hill,4000.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
400,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Core Resources Pty Ltd,Albion,4010.0,,,Toowong Process,Albion,4010.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,Clayfield,200000.0
401,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Arthritis Relief Plus Limited,Bundall,4217.0,,,Novel Osteoarthritis Drug US Launch,Bundall,4217.0,"Worongary, QLD; Runaway Bay, QLD; Southport, QLD; Tulsa OK USA",19/08/2019,Gold Coast (C),Gold Coast,Southport,200000.0
402,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Aquafarms Queensland Pty Ltd,Urangan,4655.0,,,Scaling to export,Urangan,4655.0,,19/08/2019,Fraser Coast (R),Wide Bay,Hervey Bay,100000.0
403,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Australian Kunzea Pty Ltd,Coolangatta,4225.0,,,Accelerate Commercialisation of Kunzea Products,Coolangatta,4225.0,"Worongary, Queensland; Brisbane, Queensland",19/08/2019,Gold Coast (C),Gold Coast,Currumbin,99928.0
404,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Aurtra Pty Ltd,Corinda,4075.0,,,Automated Global Provisioning,Corinda,4075.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,Mount Ommaney,199456.0
405,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,McGregor Diesel Pty Ltd ATF The S & A McGregor Trust,Goondiwindi,4390.0,,,Fuelling Innovation in Regional Queensland,Goondiwindi,4390.0,,19/08/2019,Goondiwindi (R),Darling Downs,Southern Downs,100000.0
406,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,CyberMetrix Pty Ltd,Fortitude Valley,4006.0,,,Cyberturity® Pro 3rd Party Digital Trust Platform,Fortitude Valley,4006.0,,8/05/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
407,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Cogniom Pty Ltd,Brisbane City,4000.0,,,Cogniom's TANDM Suite,Brisbane City,4000.0,,8/05/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
408,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Health Management Pty Ltd,Westcourt,4870.0,,,Sophus Nutrition Commercialisation,Westcourt,4870.0,,8/05/2020,Cairns (R),Far North Queensland,Cairns,200000.0
409,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Engag3d Pty Ltd,North Lakes,4509.0,,,Engag3d Autonomous Marketing using SmartSkills,North Lakes,4509.0,,8/05/2020,Moreton Bay (R),Moreton Bay,Bancroft,150000.0
410,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,WeKo Pty Ltd,New Farm,4005.0,,,WeKoGP (General Practice),New Farm,4005.0,"Brisbane, Queensland",19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
411,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Vostronet (Australia) Pty Ltd,Brisbane City,4000.0,,,Commercialisation of PrivateMesh vLAN Technology,Brisbane City,4000.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,200000.0
412,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Bankedge Pty Ltd,Kalinga,4030.0,,,Bank Margin Reviews as a Service,Kalinga,4030.0,,8/05/2020,Brisbane (C),Brisbane and Redlands,Clayfield,80000.0
413,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Yodal Pty Ltd,Newstead,4006.0,,,Yodal Scale,Newstead,4006.0,"Cairns, QLD, Townsville QLD, Rockhampton QLD, Mackay QLD, Gympie QLD",19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,90000.0
414,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Heartbeat Enterprises Pty Ltd,Augustine Heights,4300.0,,,Commercialisation of Squizify Food Safety Technology Platform,Augustine Heights,4300.0,,8/05/2020,Ipswich (C),Ipswich,Jordan,90000.0
415,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,WorkGuru Pty Ltd,Greenslopes,4007.0,,,Enabling Qld Manufacturing with WorkGuru.io,Tarragindi,4121.0,,8/05/2020,Brisbane (C),Brisbane and Redlands,Greenslopes,100000.0
416,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,The Trustee for the Ride Free Media Trust T/A Ride Free Media,West End,4101.0,,,Wrappt National Expansion,West End,4101.0,,8/05/2020,Brisbane (C),Brisbane and Redlands,South Brisbane,200000.0
417,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Amtac Professional Services Pty Ltd,Greenbank,4124.0,,,BackFlowID,Greenbank,4124.0,,2/12/2020,Logan (C),Logan,Logan,99603.0
418,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Yodel Digital Pty Ltd,Yarrabilba,4207.0,,,Yodel Commercialisation Project,Yarrabilba,4207.0,,8/05/2020,Logan (C),Logan,Logan,100000.0
419,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Shop Ferret Pty Ltd,Bungalow,4870.0,,,Qld Tourism Boost with Chat2Concierge!,Bungalow,4870.0,,8/05/2020,Cairns (R),Far North Queensland,Cairns,100000.0
420,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Next World Enterprises Pty Ltd,Morningside,4170.0,,,Build Your Own VR Induction,Morningside,4170.0,,8/05/2020,Brisbane (C),Brisbane and Redlands,Bulimba,100000.0
421,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Sonder Place Pty Ltd,Teneriffe,4005.0,,,Waste to Workwear  BeauTex Launch,Teneriffe,4005.0,,8/05/2020,Brisbane (C),Brisbane and Redlands,McConnel,50000.0
422,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Skynet Satellite Communications Pty Ltd,Newmarket,4051.0,,,SkyNet Commercial ADS-B,Newmarket,4051.0,,8/05/2020,Brisbane (C),Brisbane and Redlands,Stafford,104000.0
423,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Vorteil.io Pty Ltd,Varsity Lakes,4227.0,,,Vorteil - A Cloud Operating System,Varsity Lakes,4227.0,,19/08/2019,Gold Coast (C),Gold Coast,Mermaid Beach,200000.0
424,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,OreFox Pty Ltd,Brisbane City,4000.0,,,OreFox Scale and Acquisition,Brisbane City,4000.0,"Brisbane City, QLD; Fortitude Valley, QLD; Warwick, QLD; Charters Towers, QLD; Gympie, QLD; Kilkivan, QLD; Rockhampton, QLD",19/08/2019,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
425,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Norbit Software Pty Ltd,Stones Corner,4120.0,,,SaaS Loyalty Solution for Precincts,Stones Corner,4120.0,,19/08/2019,Brisbane (C),Brisbane and Redlands,Greenslopes,100000.0
426,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Q L Spacer Blocks Pty Ltd,Ipswich,4305.0,,,Q L Medical,Ipswich,4305.0,,19/08/2019,Ipswich (C),Ipswich,Ipswich,200000.0
